Data Source,nData,percentile,Lower Bound,Upper Bound,True Value,Repetition Index
pareto,30,0,0.0,0.0,0.005,96
pareto,30,0,-0.01154537891863986,0.030651255530504976,0.005,97
pareto,30,0,-1.9849009825211224e-05,2.0269372217439537e-05,0.005,98
pareto,30,0,-0.002415344333462249,0.03987056373545061,0.005,99
pareto,30,0,-0.011863651072799087,0.020431904732399697,0.005,100
pareto,30,0,-0.007252590963846545,0.009228060648940222,0.005,101
pareto,30,0,-0.01781111412230615,0.032231510696024014,0.005,102
pareto,30,0,-0.005114337596635449,0.023762056783407176,0.005,103
pareto,30,0,0.0,0.0,0.005,104
pareto,30,0,0.0,0.0,0.005,105
pareto,30,0,-0.008155677854365715,0.011018834572787533,0.005,106
pareto,30,0,-0.009507052330432572,0.013733900349725908,0.005,107
pareto,30,0,-0.01139098047566911,0.015982061595536123,0.005,108
pareto,30,0,-0.011881294608574983,0.027465953804383183,0.005,109
pareto,30,0,0.0,0.0,0.005,110
pareto,30,0,-0.010923554281433396,0.01872882999127722,0.005,111
pareto,30,0,-0.010850017735715643,0.015138671920585232,0.005,112
pareto,30,0,-0.006463221368604741,0.0229358274179697,0.005,113
pareto,30,0,-0.024839504495215214,0.03999508422433676,0.005,114
pareto,30,0,-0.006488176842054817,0.008467467994212085,0.005,115
pareto,30,0,-0.009350418271058964,0.015344264549876436,0.005,116
pareto,30,0,-0.009341105147537682,0.011009439100901314,0.005,117
pareto,30,0,-0.010380490816009426,0.022179225213967802,0.005,118
pareto,30,0,-0.009474244179482276,0.019054348814308286,0.005,119
pareto,30,0,-0.005187895866025898,0.006815517128159132,0.005,120
pareto,30,0,-0.012054785896564335,0.01697078180263457,0.005,121
pareto,30,0,-0.010756206324568984,0.016453052076145478,0.005,122
pareto,30,0,-0.01328865634463989,0.030301759408983893,0.005,123
pareto,30,0,0.0,0.0,0.005,124
pareto,30,0,-0.006356396507816114,0.008885972512071127,0.005,125
pareto,30,0,-0.022632904071752193,0.03148580372492605,0.005,126
pareto,30,0,-3.0273757706760853e-05,3.184726505882037e-05,0.005,127
pareto,30,0,-0.0121761882724167,0.013538870214091763,0.005,128
pareto,30,0,-0.013383138469555135,0.03132118896537877,0.005,129
pareto,30,0,-0.006027187905528099,0.01868053111172778,0.005,130
pareto,30,0,-0.0022392175698242563,0.024402380706460475,0.005,131
pareto,30,0,-0.011768799405593822,0.026921849724009534,0.005,132
pareto,30,0,0.0,0.0,0.005,133
pareto,30,0,0.0,0.0,0.005,134
pareto,30,0,-0.009077958398788421,0.031805109939883405,0.005,135
pareto,30,0,-0.0042269666414983306,0.005026219965077638,0.005,136
pareto,30,0,-0.013518758011831219,0.04144467471496925,0.005,137
pareto,30,0,-0.010622881463596169,0.032028060519343225,0.005,138
pareto,30,0,-0.010919902864125617,0.024527767134193534,0.005,139
pareto,30,0,-0.02110088141955585,0.02625539708684731,0.005,140
pareto,30,0,-0.007027418808748457,0.03359225047858762,0.005,141
pareto,30,0,-0.006654189016245285,0.030991911791033888,0.005,142
