,method,region,quantile,lb,ub
243,opt,ECUADOR,0.995,0.0018339320628430883,0.16434785756049158
244,opt,ECUADOR,0.995,0.0,0.09266501718911456
245,opt,ECUADOR,0.995,0.0,0.15583836637510393
246,opt,ECUADOR,0.995,0.0,0.14374300152690977
247,opt,ECUADOR,0.995,0.0,0.08415073980807546
248,opt,ECUADOR,0.995,0.0,0.08701289989108257
249,opt,ECUADOR,0.995,0.0,0.14046604607742305
250,opt,ECUADOR,0.995,0.004287016630317261,0.1920082751792831
251,opt,ECUADOR,0.995,0.0,0.08459424379239161
252,opt,ECUADOR,0.995,0.0,0.19722886794602343
253,opt,ECUADOR,0.995,0.0,0.1487950522036922
254,opt,ECUADOR,0.995,0.0,0.05806544907766812
255,opt,ECUADOR,0.995,0.0,0.13521240739612367
256,opt,ECUADOR,0.995,0.0024351666482211667,0.15189041335802267
257,opt,ECUADOR,0.995,0.0,0.17339609648855475
258,opt,ECUADOR,0.995,0.002169592065402008,0.19626908383882108
259,opt,ECUADOR,0.995,0.0,0.04020672591196615
260,opt,ECUADOR,0.995,0.009517208490439036,0.18117153515386866
261,opt,ECUADOR,0.995,0.0,0.10134107489616007
262,opt,ECUADOR,0.995,0.0,0.06986697043581178
263,opt,ECUADOR,0.995,0.006983770616360366,0.19851074623818826
264,opt,ECUADOR,0.995,0.0013224661354675968,0.14388363712027846
265,opt,ECUADOR,0.995,0.0007634342047473028,0.1787823198755102
266,opt,ECUADOR,0.995,0.0,0.08859967677056095
267,opt,ECUADOR,0.995,8.876257177401446e-06,0.18118957163194585
268,opt,ECUADOR,0.995,0.0,0.14218683762590534
269,opt,ECUADOR,0.995,0.0,0.04536885555035907
270,opt,ECUADOR,0.995,,0.0
271,opt,ECUADOR,0.995,0.0,0.16736050644048545
272,opt,ECUADOR,0.995,0.0,0.05074858690522954
273,opt,ECUADOR,0.995,0.0,0.07138231886435821
274,opt,ECUADOR,0.995,0.0,0.15330740113644312
275,opt,ECUADOR,0.995,0.0,0.16367463407143806
276,opt,ECUADOR,0.995,0.0,0.14785191137326034
277,opt,ECUADOR,0.995,0.0,0.11256424130498838
278,opt,ECUADOR,0.995,0.006517953721185549,0.18920914830534408
279,opt,ECUADOR,0.995,0.0,0.15327624980218985
280,opt,ECUADOR,0.995,0.019882834344732744,0.22365388677812598
281,opt,ECUADOR,0.995,0.00019626131704844618,0.17936136034477274
282,opt,ECUADOR,0.995,0.0,0.16358660274007153
283,opt,ECUADOR,0.995,0.005118672826305917,0.14578495283598084
284,opt,ECUADOR,0.995,0.0,0.08555629694066812
285,opt,ECUADOR,0.995,0.0,0.19623740454562444
286,opt,ECUADOR,0.995,0.0,0.06926819865470393
287,opt,ECUADOR,0.995,0.0,0.06786636400287917
288,opt,ECUADOR,0.995,0.0,0.08886393442645882
289,opt,ECUADOR,0.995,0.003606732122935309,0.1930058427178044
290,opt,ECUADOR,0.995,0.0,0.11374377631935081
291,opt,ECUADOR,0.995,0.012627978814985147,0.14309298247608002
292,opt,ECUADOR,0.995,0.00834111824165773,0.15168043433818557
293,opt,ECUADOR,0.995,0.0,0.13407908097116997
294,opt,ECUADOR,0.995,0.005571065741092215,0.15399429794880276
295,opt,ECUADOR,0.995,,0.0
296,opt,ECUADOR,0.995,0.0,0.1443879253020267
297,opt,ECUADOR,0.995,0.0,0.1447250101528873
298,opt,ECUADOR,0.995,0.00289823965562324,0.20213453271145118
299,opt,ECUADOR,0.995,0.032527086695145285,0.1867155746760619
300,opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.10856612622479542
301,opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.1288229574620114
302,opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.1180175823630409
303,opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.11570905986625714
304,opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.09601963539751625
305,opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.08142130705925783
306,opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.09621543815060368
307,opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.14099162423859074
308,opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.12957701329281435
309,opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.09616839599640595
310,opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.07218218462600316
