Data Source,nData,percentageLHS,Upper Bound,True Value,Repetition Index
lognorm,500,0.9,0.004944476098651503,0.005,83
lognorm,500,0.9,0.005443557660801579,0.005,84
lognorm,500,0.9,0.005479364717995584,0.005,85
lognorm,500,0.9,0.005012906070955829,0.005,86
lognorm,500,0.9,0.004154004189132763,0.005,87
lognorm,500,0.9,0.005696017849882238,0.005,88
lognorm,500,0.9,0.005117651076882045,0.005,89
lognorm,500,0.9,0.0055821000085576195,0.005,90
lognorm,500,0.9,0.005111353419181216,0.005,91
lognorm,500,0.9,0.0052306844436948215,0.005,92
lognorm,500,0.9,0.005814274040578545,0.005,93
lognorm,500,0.9,0.005139204402154463,0.005,94
lognorm,500,0.9,0.005900829001313544,0.005,95
lognorm,500,0.9,0.008173292003648575,0.005,96
lognorm,500,0.9,0.009271198321515906,0.005,97
lognorm,500,0.9,0.005426187011259073,0.005,98
lognorm,500,0.9,0.0058490084780261666,0.005,99
lognorm,500,0.9,0.006499703315976064,0.005,100
lognorm,500,0.9,0.00013487588014689345,0.005,101
lognorm,500,0.9,0.005462075735977554,0.005,102
lognorm,500,0.9,0.004849613723473058,0.005,103
lognorm,500,0.9,0.007279793324208317,0.005,104
lognorm,500,0.9,0.005823524846838107,0.005,105
lognorm,500,0.9,0.005227711669743118,0.005,106
lognorm,500,0.9,0.0057630279662585285,0.005,107
lognorm,500,0.9,0.004654553386802984,0.005,108
lognorm,500,0.9,0.0051234372173334765,0.005,109
lognorm,500,0.9,0.006166194187927876,0.005,110
lognorm,500,0.9,0.004938085253611726,0.005,111
lognorm,500,0.9,0.005659347315985378,0.005,112
lognorm,500,0.9,0.004890751952269602,0.005,113
lognorm,500,0.9,0.005608814785355968,0.005,114
lognorm,500,0.9,0.005574567052901443,0.005,115
lognorm,500,0.9,0.005426148165099019,0.005,116
lognorm,500,0.9,0.004314145678421984,0.005,117
lognorm,500,0.9,0.005698009181825003,0.005,118
lognorm,500,0.9,0.005247734192158253,0.005,119
lognorm,500,0.9,0.005488232350840182,0.005,120
lognorm,500,0.9,4.7182540093884814e-05,0.005,121
lognorm,500,0.9,0.006006905391102871,0.005,122
lognorm,500,0.9,0.005531485059879131,0.005,123
lognorm,500,0.9,0.005272582961919802,0.005,124
lognorm,500,0.9,0.0057868976433748534,0.005,125
lognorm,500,0.9,0.006162282425660961,0.005,126
lognorm,500,0.9,5.778138421984862e-05,0.005,127
lognorm,500,0.9,0.006178886022674374,0.005,128
lognorm,500,0.9,0.00019275091596755793,0.005,129
lognorm,500,0.9,0.0001209052759090846,0.005,130
lognorm,500,0.9,0.005178364189228665,0.005,131
lognorm,500,0.9,0.004908680355378311,0.005,132
lognorm,500,0.9,0.005534359833531637,0.005,133
lognorm,500,0.9,6.200340516435071e-05,0.005,134
lognorm,500,0.9,3.2887402994248146e-05,0.005,135
lognorm,500,0.9,0.004759905422683985,0.005,136
lognorm,500,0.9,0.005325169018978691,0.005,137
lognorm,500,0.9,0.00515043132714409,0.005,138
lognorm,500,0.9,0.005660531403552828,0.005,139
lognorm,500,0.9,0.00487197997235871,0.005,140
lognorm,500,0.9,6.915516554016144e-05,0.005,141
lognorm,500,0.9,0.004952990863611686,0.005,142
lognorm,500,0.9,0.005429686329240892,0.005,143
lognorm,500,0.9,0.005121677031997379,0.005,144
lognorm,500,0.9,0.0059607983830688525,0.005,145
lognorm,500,0.9,0.00590388357861866,0.005,146
lognorm,500,0.9,0.005079443861433719,0.005,147
lognorm,500,0.9,0.005448569190493747,0.005,148
lognorm,500,0.9,7.218635360387188e-05,0.005,149
lognorm,500,0.9,0.005649793082122749,0.005,150
lognorm,500,0.9,0.005004868075810516,0.005,151
lognorm,500,0.9,0.005162067958583198,0.005,152
lognorm,500,0.9,0.0073825263326348185,0.005,153
lognorm,500,0.9,0.0056021628655431414,0.005,154
lognorm,500,0.9,0.00016743718365939283,0.005,155
lognorm,500,0.9,0.005448489880034733,0.005,156
lognorm,500,0.9,0.005361180106969282,0.005,157
lognorm,500,0.9,0.005451425776562513,0.005,158
lognorm,500,0.9,0.005734152225702217,0.005,159
lognorm,500,0.9,0.006194674973258981,0.005,160
lognorm,500,0.9,0.005346190241748079,0.005,161
lognorm,500,0.9,0.006258251216157081,0.005,162
lognorm,500,0.9,0.0069454419349527325,0.005,163
lognorm,500,0.9,0.005690142969372411,0.005,164
lognorm,500,0.9,0.005706790305048202,0.005,165
lognorm,500,0.9,0.0055957998853916925,0.005,166
lognorm,500,0.9,0.00557733034826342,0.005,167
lognorm,500,0.9,0.0008992817803222511,0.005,168
lognorm,500,0.9,0.0055015690784506015,0.005,169
lognorm,500,0.9,0.0076769020286239385,0.005,170
lognorm,500,0.9,0.0036677405017577283,0.005,171
lognorm,500,0.9,0.005313301100485354,0.005,172
lognorm,500,0.9,0.005623586684442217,0.005,173
lognorm,500,0.9,0.005888106601462337,0.005,174
lognorm,500,0.9,0.0012747015343593507,0.005,175
lognorm,500,0.9,0.005011043783223427,0.005,176
lognorm,500,0.9,0.006094126113697269,0.005,177
lognorm,500,0.9,2.306144676234302e-05,0.005,178
lognorm,500,0.9,0.005181392819631827,0.005,179
lognorm,500,0.9,0.005318131351537698,0.005,180
lognorm,500,0.9,0.0058084254908755215,0.005,181
lognorm,500,0.9,0.004849915642252003,0.005,182
lognorm,500,0.9,0.0033798848276685067,0.005,183
lognorm,500,0.9,0.004829267550361258,0.005,184
lognorm,500,0.9,0.005512187962577299,0.005,185
