Data Source,nData,percentile,Lower Bound,Upper Bound,True Value,Repetition Index
gamma,30,0,-0.00444781648358888,0.01353332158691814,0.005,57
gamma,30,0,0.0,0.0,0.005,58
gamma,30,0,-0.017838129368932972,0.03661078205850144,0.005,59
gamma,30,0,-0.0043877250252607365,0.04163033725244619,0.005,60
gamma,30,0,-0.0035034811624606167,0.01413510774588511,0.005,61
gamma,30,0,0.0,0.0,0.005,62
gamma,30,0,0.013756873830052797,0.025566563545675127,0.005,63
gamma,30,0,-0.022098443220824205,0.029425953267219453,0.005,64
gamma,30,0,-0.018174609862122163,0.027108206687297257,0.005,65
gamma,30,0,-0.011156475649398187,0.01353824437094719,0.005,66
gamma,30,0,-0.03097971824325634,0.04579227110321438,0.005,67
gamma,30,0,0.014874754837034376,0.03561924027453573,0.005,68
gamma,30,0,-0.040654833414370053,0.06159483560253762,0.005,69
gamma,30,0,0.0,0.0,0.005,70
gamma,30,0,-0.01098669566786102,0.022956961626299302,0.005,71
gamma,30,0,-0.016609731911389564,0.024224401851881322,0.005,72
gamma,30,0,-0.008133058089368298,0.016965928838194092,0.005,73
gamma,30,0,0.0,0.0,0.005,74
gamma,30,0,-9.202915924714449e-07,9.224502964869873e-07,0.005,75
gamma,30,0,-0.005438366007448115,0.014493946989874983,0.005,76
gamma,30,0,-0.004637342067968349,0.0053133877016360255,0.005,77
gamma,30,0,-0.012652141421041319,0.02064954957550598,0.005,78
